feature,coefficient
intercept,
location_seg_mean_orders,37.71998171795918
location_seg_std_orders,10.678836670014618
month,7.957170986026789
location_seg_max_orders,5.53606138954796
is_weekend,4.700365497389393
lag_1seg,3.5868044314368337
lag_8seg,3.239216537009081
lag_2seg,3.0369222767762687
location_mean_orders,2.9792627685320445
rolling_mean_3seg,2.204632699676146
location_std_orders,2.1841609743912795
rolling_open_count_3seg,1.9140713198764998
trend_ratio,1.670889780966725
lag_56seg,1.5839711518963766
location_max_orders,1.4296386930950689
open_hours,1.1637639866670604
rolling_std_3seg,1.0779746697007553
segment_cos,0.9107924720438241
surge_ratio,0.9047436546664794
weekday,0.7909262823876038
trend_3seg,0.7879954373587373
rolling_min_3seg,0.778063474522557
segment,0.7440531297487716
segment_sin,0.6614231405136708
time_segment,0.6390895058092505
rolling_max_3seg,0.5938035974558961
segment_rank,0.3754998366131128
prev_open_2seg,0.0743368878612266
prev_open_8seg,0.05238009362416001
prev_open_1seg,0.023166936432625202
rolling_mean_7d,0.0
rolling_max_8seg,0.0
