segment,time_segment,rows,mae,rmse,mean_orders,mean_pred
high,afternoon,1042.0,4.427773877797175,5.546761957742713,17.03742802303263,18.952060803434957
high,deep_night,240.0,2.055484626119607,3.023840958458041,3.7583333333333333,3.61332644778266
high,dinner,1040.0,2.559207512808283,3.1765614093796493,8.235576923076923,8.721368144820124
high,early_morning,1014.0,3.8158258733319967,5.226831871644117,12.355029585798816,14.332633850799912
high,late_evening,1040.0,2.7900239299143754,3.475229990812253,9.146153846153846,10.083196299790712
high,lunch,1042.0,3.6449629841536977,4.69023624509048,12.528790786948177,13.97688727802319
high,morning,1043.0,2.151545798456988,2.670711430108194,5.8149568552253115,6.542814206919143
high,opening,240.0,0.7186152956001772,1.0325925136957277,0.8625,0.9397276562217486
low,afternoon,3944.0,0.3939412369604608,0.7829748184138123,0.1366632860040568,0.3641571309898486
low,deep_night,75.0,3.190173832343446,3.867767756668822,0.0,3.190173832343446
low,dinner,3930.0,0.226858350927432,0.5247903481075897,0.0905852417302799,0.19918353322530832
low,early_morning,1876.0,0.2993674543041376,0.9247221445196344,0.05970149253731343,0.2588959664868034
low,late_evening,3840.0,0.2569672832583526,0.5740951610472088,0.10625,0.2420174686440715
low,lunch,3926.0,0.357832003424852,1.0791394037359008,0.08863983698420784,0.3404317271795104
low,morning,2677.0,0.22420823139239798,0.6073857499642397,0.04333208815838625,0.2013283731020966
low,opening,53.0,0.7409991092924657,0.7762673430880377,0.0,0.7409991092924657
medium,afternoon,4390.0,1.776380650268293,2.629958974315635,3.83872437357631,4.423199738195393
medium,deep_night,270.0,5.510760417658738,8.026308468637405,4.866666666666666,10.0081096972722
medium,dinner,4383.0,1.143042790234428,1.676379028566214,1.9153547798311659,2.130478933069149
medium,early_morning,2943.0,1.7432894645097499,2.6181181864442387,3.0302412504247367,3.739750907652202
medium,late_evening,4378.0,1.2401644480596674,1.8592696647356448,2.0678391959798996,2.2986455915758084
medium,lunch,4380.0,1.3463445351065744,2.1415763014259133,2.734246575342466,3.164661997270402
medium,morning,3345.0,1.0297370340274932,1.5603102874636514,1.553662182361734,1.932565219063814
medium,opening,270.0,1.2543090143097089,1.6695738711671593,1.2444444444444445,2.25095075033579
mega,afternoon,164.0,5.599917891595487,7.151389350053105,28.554878048780488,29.957496910280618
mega,dinner,164.0,3.570173175099548,4.511587807136023,14.737804878048781,15.433682885478081
mega,early_morning,162.0,5.429632732809841,7.002508006149038,18.38888888888889,22.498310769524362
mega,late_evening,164.0,4.398465101950871,5.394643756466284,18.50609756097561,19.224871173523812
mega,lunch,164.0,5.0699357668371965,6.199629457544685,22.304878048780488,23.549891356687976
mega,morning,164.0,2.7980758478033416,3.527937123219801,9.74390243902439,10.69777704459698
