location_id,segment_datetime,segment,time_segment,orders_count,prediction,error,abs_error,peak_threshold
443,2026-04-06 04:00:00+03:00,low,lunch,44.0,0.7889739577555727,-43.21102604224443,43.21102604224443,1.0
69,2026-02-19 04:00:00+03:00,mega,lunch,71.0,46.65014340497226,-24.349856595027738,24.349856595027738,38.0
69,2026-03-09 04:00:00+03:00,mega,lunch,72.0,49.76030825286096,-22.23969174713904,22.23969174713904,38.0
69,2026-02-20 04:00:00+03:00,mega,lunch,73.0,50.911900769433,-22.088099230567003,22.088099230567003,38.0
16,2026-04-11 04:00:00+03:00,medium,lunch,26.0,4.063591116199288,-21.936408883800713,21.936408883800713,10.0
443,2026-04-09 04:00:00+03:00,low,lunch,27.0,5.499065806144383,-21.500934193855617,21.500934193855617,1.0
69,2026-03-09 03:00:00+03:00,mega,morning,40.0,19.32632861102823,-20.67367138897177,20.67367138897177,38.0
69,2026-02-22 04:00:00+03:00,mega,lunch,38.0,57.14815250061698,19.14815250061698,19.14815250061698,38.0
16,2026-02-13 04:00:00+03:00,medium,lunch,23.0,4.0909899384926005,-18.9090100615074,18.9090100615074,10.0
69,2026-02-02 05:00:00+03:00,mega,afternoon,46.0,27.48699478952283,-18.51300521047717,18.51300521047717,38.0
8,2026-02-12 04:00:00+03:00,mega,lunch,56.0,37.562744582367486,-18.437255417632514,18.437255417632514,38.0
69,2026-02-20 06:00:00+03:00,mega,dinner,53.0,34.814437928990166,-18.185562071009834,18.185562071009834,38.0
69,2026-02-13 04:00:00+03:00,mega,lunch,62.0,44.42874428656949,-17.57125571343051,17.57125571343051,38.0
69,2026-03-08 04:00:00+03:00,mega,lunch,46.0,63.39965538557437,17.39965538557437,17.39965538557437,38.0
16,2026-02-23 04:00:00+03:00,medium,lunch,20.0,3.3219166921473535,-16.678083307852646,16.678083307852646,10.0
69,2026-03-06 04:00:00+03:00,mega,lunch,68.0,51.32371730282896,-16.67628269717104,16.67628269717104,38.0
2,2026-02-24 04:00:00+03:00,high,lunch,35.0,18.324045631124473,-16.675954368875527,16.675954368875527,25.0
69,2026-02-17 04:00:00+03:00,mega,lunch,60.0,43.52034448423653,-16.47965551576347,16.47965551576347,38.0
54,2026-02-22 05:00:00+03:00,medium,afternoon,22.0,5.544068098237077,-16.455931901762924,16.455931901762924,10.0
11,2026-03-21 00:00:00+03:00,medium,deep_night,11.0,27.430029967741675,16.430029967741675,16.430029967741675,10.0
69,2026-02-19 05:00:00+03:00,mega,afternoon,46.0,30.029962513780344,-15.970037486219656,15.970037486219656,38.0
