generation,best_fitness,best_rmse,best_mae,mean_fitness
0,-1.9541854896126802,2.254992520616018,1.2020213215953042,-2.3232874636467193
1,-1.9389783397124611,2.2364580734066926,1.1935509524815915,-2.091873699516582
2,-1.8248806698274718,2.102722002258578,1.1342996900103077,-2.001998270074579
3,-1.8248806698274718,2.102722002258578,1.1342996900103077,-1.9578514297827383
4,-1.8178653303574415,2.1025204780513675,1.1020255670687913,-1.8950868062091266
5,-1.8178653303574415,2.1025204780513675,1.1020255670687913,-1.8705359028353563
6,-1.8000210198052,2.0688003115596927,1.129229212443956,-1.8213428256184994
7,-1.8000210198052,2.0688003115596927,1.129229212443956,-1.8232070682595087
8,-1.7846301114322536,2.0668785788575614,1.0785630328487124,-1.8237866052796448
9,-1.7846301114322536,2.0668785788575614,1.0785630328487124,-1.8066831753789585
10,-1.7839863112695677,2.0671706963113077,1.0786682860107606,-1.7954980263971012
11,-1.7839863112695677,2.0671706963113077,1.0786682860107606,-1.7915149378835253
