segment,time_segment,rows,mae,rmse,mean_orders,mean_pred
high,afternoon,1142.0,2.9128764344215483,3.5919634101748295,9.8861646234676,10.7436960783376
high,deep_night,83.0,0.5307269225161129,0.7853341634499875,0.4819277108433735,0.30850854340043016
high,dinner,1142.0,2.777029969684292,3.4805346528217473,9.38353765323993,10.378182494589051
high,early_morning,1025.0,1.4891801853273412,1.8432968797726628,2.8858536585365853,3.30368184821651
high,late_evening,1154.0,1.4818659393565978,1.9626428799118052,3.3665511265164643,3.657873527926802
high,lunch,1145.0,4.6244878709753365,5.817872468496059,18.570305676855895,21.082409764057935
high,morning,1147.0,2.754797991557943,3.4246324448216674,8.102877070619007,9.48086078376293
high,opening,246.0,1.0552366749621227,1.6235944322558735,1.853658536585366,2.1805162742226267
low,afternoon,3935.0,0.32393220999275635,0.729274736052726,0.13799237611181703,0.29417614699064865
low,deep_night,75.0,0.5616401865555732,1.0037346657769979,0.0,0.5616401865555732
low,dinner,3840.0,0.2802905191015687,0.6745860620512232,0.14869791666666668,0.26316717509115234
low,early_morning,1266.0,0.10638341322921047,0.21001783428194007,0.018167456556082148,0.0933905883614698
low,late_evening,2727.0,0.14436932335250777,0.43603129982386984,0.0352035203520352,0.1383103137635449
low,lunch,3950.0,0.48196241336818046,1.2680364191730933,0.17721518987341772,0.42345854214035067
low,morning,2677.0,0.29968827662335484,0.5961868612662246,0.076951811729548,0.26538725493383203
low,opening,58.0,0.045216305287278026,0.26215974728797187,0.0,0.045216305287278026
medium,afternoon,3798.0,1.256146073286962,1.8518469319521937,2.2359136387572405,2.3992145081760743
medium,deep_night,273.0,4.380381783894009,6.227932621934656,6.164835164835165,9.842958719718872
medium,dinner,3792.0,1.1936356841782019,1.8176769881149324,2.2473628691983123,2.2526313516677057
medium,early_morning,1678.0,0.8206851501565738,1.1678735697586773,0.9827175208581644,1.1466347599146647
medium,late_evening,3392.0,0.6783909361144673,1.0732677823939676,0.8705778301886793,1.0004680553379512
medium,lunch,3806.0,1.6368298348464103,2.5386731186142764,3.8497109826589595,4.091365153017477
medium,morning,2756.0,1.1692074275869915,1.843837202947436,2.234034833091437,2.467517029584773
medium,opening,353.0,1.5401876812705595,2.6966835534315967,4.135977337110481,4.37274214547979
mega,afternoon,648.0,3.852473764513598,4.889468778419279,17.03240740740741,17.739068768463707
mega,deep_night,160.0,3.0778722511181953,4.066831285603783,6.75625,6.70413130287596
mega,dinner,648.0,3.88130605591146,4.887698245517778,17.36574074074074,18.382078861350827
mega,early_morning,650.0,2.267014599640779,2.8890232004011596,5.92,6.555048219291046
mega,late_evening,655.0,2.3875061585975783,2.9799207179624285,7.258015267175573,8.225829186367195
mega,lunch,649.0,6.034772271431288,7.620404577854879,31.77195685670262,34.236807085548335
mega,morning,649.0,3.7637336124356477,4.664944419279024,14.349768875192604,15.764763528713194
mega,opening,415.0,2.3087628355898047,3.034710778335714,5.886746987951807,6.170827304167156
