location_id,segment_datetime,segment,time_segment,segment_start_hour,orders_count,prediction,error,abs_error,peak_threshold
443,2026-04-06 11:00:00+03:00,low,lunch,11,44.0,2.071299353041271,-41.92870064695873,41.92870064695873,1.0
69,2026-02-19 11:00:00+03:00,mega,lunch,11,71.0,46.80958282411024,-24.190417175889763,24.190417175889763,49.0
69,2026-02-20 11:00:00+03:00,mega,lunch,11,73.0,52.45211167800265,-20.54788832199735,20.54788832199735,49.0
69,2026-02-20 18:00:00+03:00,mega,dinner,18,53.0,32.53910556446706,-20.460894435532943,20.460894435532943,49.0
443,2026-04-09 11:00:00+03:00,low,lunch,11,27.0,7.326972017876976,-19.673027982123024,19.673027982123024,1.0
69,2026-03-09 11:00:00+03:00,mega,lunch,11,72.0,52.875423493781334,-19.124576506218666,19.124576506218666,49.0
7,2026-02-25 00:00:00+03:00,high,deep_night,0,30.0,11.222276930698655,-18.777723069301345,18.777723069301345,30.0
8,2026-02-12 11:00:00+03:00,high,lunch,11,56.0,37.24105321512622,-18.75894678487378,18.75894678487378,30.0
16,2026-04-11 11:00:00+03:00,medium,lunch,11,26.0,7.434662055661264,-18.565337944338737,18.565337944338737,14.0
2,2026-02-24 11:00:00+03:00,high,lunch,11,35.0,16.649301215938877,-18.350698784061123,18.350698784061123,30.0
69,2026-02-13 11:00:00+03:00,mega,lunch,11,62.0,43.93587845738113,-18.06412154261887,18.06412154261887,49.0
69,2026-03-06 11:00:00+03:00,mega,lunch,11,68.0,50.22044827319945,-17.77955172680055,17.77955172680055,49.0
69,2026-04-05 11:00:00+03:00,mega,lunch,11,76.0,58.57166684719693,-17.42833315280307,17.42833315280307,49.0
8,2026-02-24 15:00:00+03:00,high,afternoon,15,36.0,18.831756937402613,-17.168243062597387,17.168243062597387,30.0
35,2026-03-19 15:00:00+03:00,high,afternoon,15,33.0,16.326092553290692,-16.673907446709308,16.673907446709308,30.0
69,2026-02-17 11:00:00+03:00,mega,lunch,11,60.0,43.529576656750045,-16.470423343249955,16.470423343249955,49.0
69,2026-03-29 11:00:00+03:00,mega,lunch,11,50.0,66.1168168826284,16.1168168826284,16.1168168826284,49.0
54,2026-02-22 15:00:00+03:00,medium,afternoon,15,22.0,6.4886525986295265,-15.511347401370474,15.511347401370474,14.0
16,2026-02-13 11:00:00+03:00,medium,lunch,11,23.0,7.629609145157792,-15.370390854842208,15.370390854842208,14.0
10,2026-02-03 11:00:00+03:00,medium,lunch,11,34.0,18.867138576017332,-15.132861423982668,15.132861423982668,14.0
54,2026-02-15 18:00:00+03:00,medium,dinner,18,22.0,7.123466279115044,-14.876533720884957,14.876533720884957,14.0
69,2026-03-04 18:00:00+03:00,mega,dinner,18,49.0,34.14648123113705,-14.853518768862948,14.853518768862948,49.0
29,2026-01-25 15:00:00+03:00,high,afternoon,15,31.0,16.297367612891733,-14.702632387108267,14.702632387108267,30.0
128,2026-01-27 11:00:00+03:00,high,lunch,11,35.0,20.375028048699804,-14.624971951300196,14.624971951300196,30.0
69,2026-03-04 11:00:00+03:00,mega,lunch,11,65.0,50.57412539700751,-14.425874602992486,14.425874602992486,49.0
69,2026-03-07 11:00:00+03:00,mega,lunch,11,73.0,58.76005349583021,-14.239946504169787,14.239946504169787,49.0
14,2026-03-08 09:00:00+03:00,medium,morning,9,22.0,7.875750793808365,-14.124249206191635,14.124249206191635,14.0
16,2026-02-28 11:00:00+03:00,medium,lunch,11,18.0,4.017869590746013,-13.982130409253987,13.982130409253987,14.0
