feature,importance,model
location_daily_std,22.25545892120522,daily
location_daily_mean,16.003602320657116,daily
rolling_mean_7d,15.993538743778123,daily
rolling_mean_28d,15.30268376444249,daily
rolling_std_7d,10.377496505693596,daily
lag_1d,8.552678001034845,daily
month,2.7656534343791455,daily
lag_7d,2.693695308271734,daily
open_segments,2.6539093059073635,daily
weekday,0.9863034116482949,daily
trend_7d,0.971046341170242,daily
is_weekend,0.7521465920022157,daily
segment,0.6917873498096627,daily
location_seg_mean_share,56.66665866735592,share
z_rolling_max_7d,5.665345322632502,share
rolling_mean_7d_same_seg,5.068676513402044,share
is_weekend,4.252829990263961,share
month,3.7281685298546554,share
lag_7d_same_seg,3.4081350304483267,share
segment,3.2866119758123085,share
segment_cos,3.136863741446767,share
open_hours,3.013599444057319,share
z_lag_1d,2.89262366736982,share
surge_ratio_d1,2.6615889024995827,share
segment_sin,1.715506858649092,share
segment_rank,1.5354142146116585,share
lag_1d_same_seg,1.1773482494954177,share
weekday,1.057792858871991,share
time_segment,0.7328360332285575,share
location_seg_mean_orders,21.07568406800024,quantile_p90
rolling_mean_7d_same_seg,15.221475172924672,quantile_p90
location_seg_std_orders,13.53565603029757,quantile_p90
rolling_max_7d_same_seg,12.72463954810977,quantile_p90
lag_1d_same_seg,6.4477045056079305,quantile_p90
location_mean_orders,6.038625471889972,quantile_p90
lag_7d_same_seg,5.28592352303744,quantile_p90
location_seg_mean_share,2.963533040594731,quantile_p90
rolling_std_7d_same_seg,2.4128556558278564,quantile_p90
deviation_from_seg_mean,2.169809483385769,quantile_p90
lag_2d_same_seg,2.116929733716615,quantile_p90
is_weekend,1.6484254581915614,quantile_p90
z_lag_1d,1.648061007491657,quantile_p90
month,0.9816143539544855,quantile_p90
location_std_orders,0.9399843825247971,quantile_p90
open_hours,0.8467711048329958,quantile_p90
segment_cos,0.7937163964274784,quantile_p90
surge_ratio_d1,0.7529964420543336,quantile_p90
z_rolling_max_7d,0.6122679145945487,quantile_p90
segment,0.5672478213748173,quantile_p90
trend_7d_same_seg,0.47817419969170066,quantile_p90
segment_sin,0.3876344415463927,quantile_p90
segment_rank,0.2383334528348488,quantile_p90
time_segment,0.09765342207208913,quantile_p90
weekday,0.014283369015724873,quantile_p90
lag_1seg,0.0,quantile_p90
lag_2seg,0.0,quantile_p90
surge_ratio_same_day,0.0,quantile_p90
location_hour_mean,31.035076569024408,lunch_hourly
location_hour_std,20.13953438348096,lunch_hourly
location_lunch_hour_mean,15.097318749903542,lunch_hourly
segment,6.538992745254961,lunch_hourly
location_lunch_hour_std,5.951394451185514,lunch_hourly
rolling_mean_7d_same_hour,5.725782772600083,lunch_hourly
rolling_max_7d_same_hour,3.3998769671666316,lunch_hourly
location_id,2.8103544762479777,lunch_hourly
month,2.115557746029053,lunch_hourly
lag_7d_same_hour,1.792464478346668,lunch_hourly
weekday,1.7743157674031984,lunch_hourly
lag_1d_same_hour,0.9813966078535885,lunch_hourly
z_lag_1d_hour,0.8212151019879755,lunch_hourly
is_weekend,0.808102447995598,lunch_hourly
surge_ratio_1d,0.8031140061946914,lunch_hourly
hour,0.20550272932534402,lunch_hourly
rolling_mean_7d_same_seg,18.027070994172316,direct_high_mega
location_seg_mean_orders,14.110586155354989,direct_high_mega
location_seg_std_orders,7.475034308229726,direct_high_mega
location_seg_mean_share,6.93159644819041,direct_high_mega
segment_cos,5.72709247987641,direct_high_mega
rolling_max_7d_same_seg,4.644992198899281,direct_high_mega
month,4.625782944756609,direct_high_mega
lag_7d_same_seg,4.484999718901395,direct_high_mega
open_hours,3.598883725364035,direct_high_mega
rolling_std_7d_same_seg,3.2757056518639565,direct_high_mega
is_weekend,2.6233670963707234,direct_high_mega
lag_1d_same_seg,2.4777592476157846,direct_high_mega
location_std_orders,2.3838579518832486,direct_high_mega
surge_ratio_d1,2.331672340840769,direct_high_mega
z_rolling_max_7d,2.2730579977334173,direct_high_mega
z_lag_1d,2.2269372309349427,direct_high_mega
lag_2d_same_seg,1.6980420429151628,direct_high_mega
location_id,1.6822293115493416,direct_high_mega
time_segment,1.436008813543798,direct_high_mega
segment_sin,1.407227194535193,direct_high_mega
trend_7d_same_seg,1.345524465670875,direct_high_mega
location_mean_orders,1.3258642399563536,direct_high_mega
deviation_from_seg_mean,1.1934113153869454,direct_high_mega
weekday,1.1078114765885323,direct_high_mega
segment_rank,1.0987567400928908,direct_high_mega
segment,0.4867279087728643,direct_high_mega
surge_ratio_same_day,0.0,direct_high_mega
lag_1seg,0.0,direct_high_mega
lag_2seg,0.0,direct_high_mega
