iter	RMSE
0	1.097725819
1	1.069625489
2	1.042598219
3	1.016247608
4	0.9907809424
5	0.9662836326
6	0.9426375049
7	0.9198036694
8	0.8976414545
9	0.8763432057
10	0.8557433867
11	0.8356858405
12	0.8165384431
13	0.7979793019
14	0.7800943591
15	0.7629464822
16	0.7461988516
17	0.7302626181
18	0.714953088
19	0.7001610443
20	0.6858109591
21	0.6720949437
22	0.6587621085
23	0.6461404626
24	0.6338501968
25	0.6219892308
26	0.610696148
27	0.5998053313
28	0.5893327362
29	0.5793527724
30	0.5697305826
31	0.5605525415
32	0.5516552272
33	0.5431376354
34	0.5349596458
35	0.5271649776
36	0.5195279637
37	0.5123610925
38	0.5055556057
39	0.4990540002
40	0.4927544105
41	0.4868528049
42	0.4810207539
43	0.4755687821
44	0.470252435
45	0.4652142037
46	0.4604984681
47	0.4560440482
48	0.4516857599
49	0.4476410566
50	0.4436674643
51	0.4399315671
52	0.4363994875
53	0.4330072237
54	0.4298285845
55	0.4267922276
56	0.423873757
57	0.4210864953
58	0.4184256668
59	0.4158960998
60	0.4135494096
61	0.411272054
62	0.4091116938
63	0.4070475482
64	0.4051386245
65	0.4032388173
66	0.4015044296
67	0.3998015528
68	0.3982510099
69	0.3966849456
70	0.3952854062
71	0.3938535476
72	0.392504969
73	0.3912760071
74	0.3901108357
75	0.3889968706
76	0.3879369764
77	0.3868786584
78	0.3858791888
79	0.3849205188
80	0.3840526095
81	0.3832741272
82	0.3825245421
83	0.3818044399
84	0.3811074503
85	0.3804290402
86	0.3798368372
87	0.3791304894
88	0.3785568702
89	0.377994415
90	0.3774306878
91	0.3769132215
92	0.3764085921
93	0.3759185467
94	0.3754963292
95	0.3750142077
96	0.3746132615
97	0.3742378757
98	0.3738613155
99	0.3735259376
100	0.3732189188
101	0.3728808047
102	0.3725044772
103	0.372222095
104	0.3719249281
105	0.371699252
106	0.3713960801
107	0.3711668925
108	0.3708808972
109	0.3706780516
110	0.3704904219
111	0.3702684281
112	0.3700131828
113	0.3697306815
114	0.3694676623
115	0.3692936364
116	0.3690033053
117	0.3688270034
118	0.3686560242
119	0.3685289514
120	0.3683709339
121	0.3681864427
122	0.3680284172
123	0.3678271093
124	0.3676504761
125	0.3675321145
126	0.3673953646
127	0.3672652092
128	0.3671485983
129	0.3669999606
130	0.3668318674
131	0.366681564
132	0.3665870213
133	0.3664261909
134	0.3663238841
135	0.3661939944
136	0.3660025757
137	0.3658720479
138	0.3657713741
139	0.3657048562
140	0.3655997786
141	0.3655189384
142	0.3653797626
143	0.3652748018
144	0.3651763888
145	0.3650791923
146	0.3650066282
147	0.3648899476
148	0.3647752466
149	0.3647078853
150	0.3646345525
151	0.3645546908
152	0.3644497062
153	0.3643370758
154	0.3642815172
155	0.3641562288
156	0.364073633
157	0.3640193664
158	0.3639488865
159	0.3638861477
160	0.3638061099
161	0.3637525803
162	0.3636624491
163	0.3635909837
164	0.3635541998
165	0.3634969789
166	0.3634261692
167	0.3633805209
168	0.3633268439
169	0.3632700349
170	0.363203484
171	0.3631738881
