iter	Passed	Remaining
0	23	46323
1	44	44365
2	68	45758
3	90	45062
4	114	45543
5	137	45705
6	161	45907
7	183	45582
8	204	45315
9	226	45145
10	248	44919
11	272	45075
12	293	44812
13	315	44700
14	337	44669
15	361	44884
16	384	44848
17	408	44938
18	429	44791
19	454	44986
20	478	45123
21	504	45324
22	528	45387
23	551	45422
24	574	45420
25	597	45330
26	618	45191
27	646	45560
28	670	45541
29	696	45732
30	721	45829
31	745	45856
32	770	45933
33	793	45868
34	819	45984
35	847	46237
36	873	46339
37	898	46409
38	925	46538
39	947	46439
40	972	46449
41	995	46421
42	1023	46565
43	1046	46502
44	1068	46429
45	1096	46571
46	1121	46582
47	1146	46640
48	1174	46768
49	1200	46837
50	1224	46795
51	1250	46856
52	1277	46927
53	1305	47035
54	1331	47090
55	1355	47060
56	1381	47105
57	1406	47083
58	1431	47084
59	1455	47072
60	1478	46987
61	1503	46996
62	1527	46964
63	1551	46933
64	1580	47050
65	1609	47173
66	1634	47144
67	1657	47105
68	1680	47028
69	1703	46962
70	1728	46952
71	1757	47070
72	1783	47070
73	1808	47064
74	1830	46993
75	1858	47053
76	1882	47004
77	1905	46943
78	1929	46907
79	1956	46951
80	1983	46980
81	2008	46970
82	2035	47020
83	2060	46998
84	2090	47101
85	2113	47043
86	2138	47019
87	2161	46954
88	2187	46967
89	2213	46978
90	2241	47026
91	2269	47058
92	2292	47006
93	2318	47010
94	2343	47000
95	2366	46943
96	2392	46933
97	2419	46959
98	2448	47009
99	2474	47013
100	2499	47003
101	2524	46977
102	2551	46995
103	2578	47002
104	2604	47006
105	2630	47002
106	2654	46957
107	2680	46955
108	2704	46918
109	2730	46922
110	2757	46930
111	2785	46960
112	2811	46956
113	2839	46980
114	2866	46993
115	2892	46974
116	2919	46988
117	2945	46970
118	2971	46969
119	2996	46943
120	3029	47046
121	3059	47091
122	3088	47125
123	3118	47174
124	3160	47411
125	3192	47488
126	3228	47621
127	3259	47673
128	3288	47695
129	3320	47763
130	3351	47815
131	3380	47843
132	3404	47786
133	3429	47755
134	3453	47715
135	3482	47725
136	3521	47889
137	3579	48292
138	3635	48679
139	3707	49252
140	3790	49970
141	3866	50590
142	3947	51264
143	4013	51727
144	4104	52511
145	4163	52867
146	4220	53207
147	4276	53520
148	4371	54310
149	4436	54721
150	4472	54765
151	4518	54937
152	4564	55104
153	4602	55172
154	4642	55264
155	4681	55332
156	4732	55556
157	4785	55786
158	4837	56014
159	4895	56295
160	4948	56527
161	5005	56796
162	5058	57014
163	5113	57249
164	5173	57535
165	5234	57829
166	5272	57875
167	5349	58336
168	5394	58447
169	5445	58614
170	5472	58530
171	5501	58472
172	5538	58486
173	5571	58467
174	5600	58404
175	5630	58356
176	5664	58345
177	5703	58383
178	5739	58387
179	5770	58350
180	5800	58298
181	5829	58232
182	5856	58144
183	5887	58104
184	5919	58077
185	5948	58018
186	5977	57948
187	6005	57884
188	6031	57797
189	6065	57778
190	6099	57766
191	6132	57751
192	6174	57807
193	6205	57768
194	6236	57723
195	6262	57642
196	6298	57647
197	6336	57669
198	6372	57668
199	6406	57656
200	6442	57659
201	6471	57606
202	6505	57587
203	6544	57618
204	6577	57594
205	6612	57582
206	6640	57516
207	6669	57461
208	6695	57372
209	6723	57313
210	6753	57261
211	6780	57187
212	6807	57116
213	6835	57043
214	6862	56975
215	6886	56876
216	6914	56813
